Company name,Website URL,Street Address,City,State/Region,Postal Code,Industry,Wholesale Customer
Eden's Market,edens-market.com,99 Alfred Street,Pittsburgh,PA,15228,Retail,Yes
Desoto Town & Country,desototnc.com,2379 Highway 171,Stonewall,LA,71078,Retail,Yes
California Animal Rehabilitation,calanimalrehab.com,2237 Colby Avenue,Los Angeles,CA,90064,Veterinary,Yes
Brush Country Supply,,2004 Hwy 97 W,Pleasanton,TX,78064,Retail,Yes
Borderbrook Animal Hospital & Pet Hotel,,3741 William Penn Hwy,Murrysville,PA,15668,Veterinary,Yes
Better Living Natural Foods,,1706 Highway 70 W,Camden,TN,38320,Retail,Yes
Alta Vista Animal Hospital,altavistaah.com,3860 Golden Triangle Boulevard,Fort Worth,TX,76244,Veterinary,Yes
All Star Sales,,1487 Buchanan Ave,Sioux City,IA,51106,Retail,Yes
Advanced Wellness Center,awellness.com,800 E Cypress Creek Rd,Fort Lauderdale,FL,33334,Retail,Yes
Adams Saddlery,,722 E. Tacony Dr.,Pueblo West,CO,81007,Retail,Yes
Merrits Creek Veterinary Center,merrittscreekvet.com,6474 Merritts Creek Rd,Huntington,WV,25702,Veterinary,Yes
Seven Oaks Veterinary Clinic,sevenoaksveterinaryclinic.com,2664 North Oak Drive,Plymouth,IN,46563,Hospital & Health Care,Yes
2nd Avenue Animal Hospital,2ndavenuevet.com,4025 2nd Avenue,Columbus,GA,31904,Veterinary,Yes
Scatter Creek Animal Clinic,scattercreekanimalclinic.com,7430 183rd Avenue Southwest,Rochester,WA,98579,Veterinary,Yes
Roche Equine Veterinary Services PA,rocheequine.com,3715 Vista Grande Lane,Twin Falls,ID,83301,Professional Training & Coaching,Yes
RANGE VIEW EQUINE ASSOCIATES,rangeviewequine.com,14210 Eastonville Road,Elbert,CO,80106,Veterinary,Yes
Pine Creek Veterinary Clinic,pinecreekvetclinic.net,128 New Mohawk Rd.,Nevada City,CA,95959,Veterinary,Yes
"Pet Wellness Clinic,",petwellnessclinic.net,2787 North Highland Avenue,Jackson,TN,38305,Veterinary,Yes
Overgaard Animal Clinic,overgaardanimal.com,2845 AZ-260,Overgaard,AZ,85933,Veterinary,Yes
Orchard Veterinary Care,orchardvetcare.net,45 Orchard Rd.,Wilmington,OH,45177,Veterinary,Yes
Noblesville Veterinary Clinic,noblesvillevetclinic.com,3355 Conner Street,Noblesville,IN,46060,Veterinary,Yes
Moorpark Veterinary Hospital,moorparkvet.com,484 East Los Angeles Avenue,Moorpark,CA,93021,Veterinary,Yes
Mojave River Equine Veterinary Service,mojaveriverequine.com,9515 Mesa Vista St.,Apple Valley,CA,92308,Hospital & Health Care,Yes
Mesa Veterinary Clinic,mesavetclinic.com,1124 20th Lane,Pueblo,CO,81006,Veterinary,Yes
Medi-Vet Animal Health LLC,medi-vet.com,69142 Louisiana 59,Mandeville,LA,70471,Retail,Yes
McDonald Veterinary Clinic,,7749 East US Hwy 150,Hardinsburg,IN,47125,Veterinary,Yes
McCulloch County Veterinary Hospital,mccullochcovet.com,2612 South Bridge Street,Brady,TX,76825,Veterinary,Yes
Maryland Veterinary Group,mdvetgroup.com,PO BOX 1093,Cypress,TX,77429,Veterinary,Yes
Chicago Equine Medical Center,chicagoequine.com,26996 North Darrell Road,Wauconda,IL,60084,Veterinary,Yes
Mandak Veterinary Services,mandakvet.com,67 MIDDLELINE RD,Ballston Spa,NY,12020,Hospital & Health Care,Yes
Kettle Moraine Equine Hospital,kmeh-redc.com,N8818 Wisconsin 67,Whitewater,WI,53190,Veterinary,Yes
Johnson Animal Clinic,johnsonanimalclinic.com,3838 Taylorsville Road,Louisville,KY,40220,Hospital & Health Care,Yes
Countryside Vet Clinic,,901 N Interstate 35,Red Oak,TX,75754,Veterinary,Yes
Houston Zoo,houstonzoo.org,6200 Hermann Park Drive,Houston,TX,77030,Veterinary,Yes
Healing Hope,healinghope.net,511 South Cedros Avenue,Solana Beach,CA,92075,Veterinary,Yes
Diamond H Veterinary Service,diamondhvet.com,1800 E 1550 N,Covington,IN,47932,Veterinary,Yes
KING STREET PET HOSPITAL,kingstreetpethospital.com,2016 South King Street,Honolulu,HI,96826,Veterinary,Yes
Frankfort Vet Clinic,frankfortvetclinic.com,715 E Main St,Frankfort,KY,40621,Veterinary,Yes
Fairborn Animal Hospital DBA Emerald Vet Practice,fairbornanimalhospital.com,2116 Park Hills Drive,Fairborn,OH,45324,Veterinary,Yes
Kentucky Equine Medical Associates,kentuckyequinemed.com,4210 SOUTHERN PKY,Louisville,KY,40214,Veterinary,Yes
"Crossroads Veterinary Services, Inc.",crossroadsvetwyo.com,1370 U.S. 87,Glenrock,WY,82637,Veterinary,Yes
Cordova Station Animal Hospital,petpatchr.com,989 North Germantown Parkway,Memphis,TN,38018,Veterinary,Yes
Cleary Lake Veterinary Hospital,clearylakevets.com,18577 Natchez Avenue,Prior Lake,MN,55372,Veterinary,Yes
Bynum Vet,bynumvet.com,165 Willow Bend Rd,Benton,LA,71006,Veterinary,Yes
Blue Ash Montgomery Pet Hospital,blueashmontgomerypethospital.com,10795 Montgomery Road,Cincinnati,OH,45242,Veterinary,Yes
Bristow Veterinary Hospital,bristowveterinaryhospital.com,37118 Oklahoma 16,Bristow,OK,74010,Hospital & Health Care,Yes
Western Hills Veterinary Clinic,westernhillsvetclinic.com,5622 Mosiman Road,Middletown,OH,45042,Veterinary,Yes
Bowman animal hospital,bowmananimalhospital.com,8308 Creedmoor Road,Raleigh,NC,27613,Veterinary,Yes
Natural Holistic Health Care,naturalholistic.com,751 NE 168th St,North Miami Beach,FL,33162,Veterinary,Yes
Bardstown Veterinary Clinic,bardstownvet.com,1210 North 3rd Street,Bardstown,KY,40004,Hospital & Health Care,Yes
Aspen Equine Clinic,aspenequineclinic.com,6858 Day Rd,Windsor,CA,95492,Veterinary,Yes
VCA Animal Hospitals - Van Nuys,vcahospitals.com,12401 West Olympic Boulevard,Los Angeles,CA,90064,Veterinary,Yes
Animals in Motion,animalsinmotionvet.com,1455 Walnut Hill Rd,Lexington,KY,40591,Veterinary,Yes
Animal Hospital Of Gurnee PC,ahog.us,38028 North Dilleys Road,Wadsworth,IL,60083,Veterinary,Yes
Animal Care Clinic IL,,1228 Vega St,Marshall,IL,62441,Veterinary,Yes
Animal Care Clinic - IL,,17275 N   1800 St.,Marshall,IL,62441,Veterinary,Yes
Animal Care Clinic Hospital -Huntsville,animalcareclinic.com,11351 Memorial Parkway Southwest,Huntsville,AL,35803,Hospital & Health Care,Yes
Animal Hospital at Tatum Ranch,tatumranchvet.com,29605 North Cave Creek Road,Cave Creek,AZ,85331,Veterinary,Yes
Angel Cats,angelcats.net,5683 Beaurivage Avenue,Sarasota,FL,34243,Veterinary,Yes
